year,b6m_us,b10y_us,spread_6m_10y,ir,market_us_avg,change_market,m2_stock,change_m2,market_mass_b100_2005,market_avg,inflation,usdx,changem2_inflation,market_mass_norm_spread,inflation_normalized_spread,market_normalized_100,market_normalized_m2,i1,i2,d_gold,e_gold,us_gold,eu_gold,d_m2_billion,d_yearly_var_m2_per,d_m2_increase,d_dji,d_sp500,d_nasdaq,d_market_avg,d_market_money_b100_2005,d_market_money,e_m3_billion,e_yearly_var_m2_per,e_m3_increase,e_cac,e_dax,e_50e,e_market_avg,e_market_money_b100_2005,e_market_money,,
2000,5.99,5.96,-0.03,6.24,4859,3.9,4.96,6.6,139,94.27,3.4,110,3.2,2.88,1.47,19,22,1.07,3.50,279,303,17.4,17.3,5.0,6.6,0.3,10788,1320,2470,4859,139.0,979,4.9,4.3,0.20,5926,6433,3386,5248,166.8,1069,,
2001,3.35,4.96,1.62,3.89,4373,-10.0,5.44,9.6,114,95.93,2.8,116,6.8,2.36,1.21,17,24,-1.72,0.50,271,303,16.1,13.9,5.4,9.6,0.5,10022,1148,1950,4373,114.1,804,5.4,10.9,0.54,4624,5160,2802,4195,120.2,770,,
2002,1.62,4.53,2.91,1.67,3519,-19.5,5.79,6.4,86,95.18,1.6,111,4.8,1.79,0.69,13,26,-3.40,-1.00,310,328,11.4,8.1,5.8,6.4,0.4,8342,879,1335,3519,86.3,607,5.8,6.6,0.36,3063,2892,2014,2656,71.4,457,,
2003,1.08,3.99,2.91,1.13,4523,28.5,6.06,4.7,106,95.95,2.3,95,2.4,2.19,0.99,17,27,-1.65,-1.00,363,321,12.4,10.6,6.1,4.7,0.3,10454,1111,2003,4523,106.0,746,6.2,6.4,0.37,3557,3965,2733,3418,86.3,553,,
2004,1.65,4.26,2.61,1.35,4723,4.4,6.41,5.7,105,100.00,2.7,87,3.0,2.17,1.17,18,29,-0.05,-1.00,409,329,11.5,11.2,6.4,5.7,0.3,10783,1211,2175,4723,104.6,737,6.6,6.3,0.39,3821,4256,2951,3676,87.4,560,,
2005,3.53,4.26,0.73,3.21,4724,0.0,6.71,4.7,100,102.97,3.4,87,1.3,2.07,1.47,18,30,1.98,-1.00,444,358,10.6,12.7,6.7,4.7,0.3,10718,1248,2205,4724,100.0,704,7.1,8.6,0.56,4715,5408,3578,4567,100.0,640,,
2006,4.98,4.78,-0.20,4.96,5432,15.0,7.10,5.7,109,106.37,3.2,86,2.5,2.25,1.38,21,32,2.68,2.00,604,480,9.0,11.3,7.1,5.7,0.4,12463,1418,2415,5432,108.7,766,7.8,9.4,0.67,5541,6596,4119,5419,108.4,695,,
2007,4.48,4.57,0.09,5.02,5795,6.7,7.49,5.6,110,109.35,2.8,80,2.8,2.27,1.21,22,34,0.93,-1.00,695,507,8.3,11.9,7.5,5.6,0.4,13265,1468,2652,5795,109.9,774,8.7,11.4,0.89,5614,8067,4399,6027,108.2,693,,
2008,1.52,3.59,2.07,1.93,3752,-35.3,8.26,10.3,65,109.08,3.8,77,6.5,1.34,1.64,14,37,-3.06,-2.50,872,593,4.3,5.9,8.3,10.3,0.8,8776,903,1577,3752,64.5,454,9.4,8.4,0.73,3217,4810,2447,3491,57.8,370,,
2009,0.28,3.27,2.99,0.16,4604,22.7,8.45,2.2,77,108.32,-0.4,81,2.6,1.60,-0.17,18,38,-3.31,-2.50,972,697,4.7,6.1,8.4,2.2,0.2,10428,1115,2269,4604,77.4,545,9.4,-0.4,-0.04,3936,5957,2964,4286,71.3,457,,
2010,0.20,3.13,2.93,0.18,5162,12.1,8.83,4.5,83,106.75,1.6,82,2.9,1.72,0.69,20,40,-0.87,-2.50,1225,925,4.2,4.9,8.8,4.5,0.4,11578,1257,2652,5162,83.1,585,9.3,-0.7,-0.06,3804,6914,2792,4503,75.4,483,,
2011,0.11,2.73,2.63,0.10,5360,3.8,9.73,10.2,78,103.61,3.2,76,7.0,1.62,1.38,20,44,-0.07,-2.50,1572,1130,3.4,3.4,9.7,10.2,0.9,12218,1257,2605,5360,78.2,551,9.5,2.3,0.21,3159,5898,2316,3791,62.1,398,,
2012,0.13,1.74,1.60,0.14,5850,9.1,10.47,7.6,79,99.57,2.1,80,5.5,1.64,0.91,22,47,0.00,-2.50,1669,1298,3.5,3.6,10.5,7.6,0.7,13104,1426,3019,5850,79.4,559,9.8,2.9,0.27,3641,7612,2635,4629,73.7,472,,
2013,0.09,2.36,2.28,0.11,7534,28.8,11.07,5.7,97,96.29,1.5,82,4.2,2.00,0.65,29,50,-0.01,-2.50,1411,1064,5.3,5.3,11.1,5.7,0.6,16577,1848,4176,7534,96.7,681,9.8,0.4,0.04,4295,9552,3109,5652,89.6,574,,
2014,0.06,2.48,2.42,0.09,8206,8.9,11.73,6.0,99,93.45,1.6,83,4.4,2.06,0.69,31,53,-0.03,-2.50,1266,953,6.5,6.0,11.7,6.0,0.7,17823,2058,4736,8206,99.3,699,10.3,4.9,0.48,4272,9805,3146,5741,86.8,556,,
2015,0.17,2.09,1.92,0.13,8158,-0.6,12.46,6.2,93,91.94,0.1,97,6.1,1.93,0.04,31,56,0.03,-2.50,1160,1045,7.0,5.9,12.5,6.2,0.7,17425,2043,5007,8158,93.0,655,10.8,4.9,0.51,4637,10743,3267,6216,89.5,574,,
2016,0.46,1.82,1.36,0.40,9128,11.9,13.28,6.6,98,92.75,1.3,97,5.3,2.02,0.56,35,59,0.28,-2.50,1251,1129,7.3,5.8,13.3,6.6,0.8,19763,2238,5383,9128,97.7,688,11.4,5.1,0.55,4862,11481,3290,6544,89.7,574,,
2017,1.09,2.33,1.24,1.00,11432,25.2,13.86,4.4,117,93.56,2.1,96,2.3,2.43,0.91,44,62,0.74,-1.00,1257,1114,9.1,6.5,13.9,4.4,0.6,24719,2673,6903,11432,117.2,825,11.9,4.2,0.48,5312,12917,3503,7244,95.2,610,,
2018,2.17,2.89,0.72,1.83,10823,-5.3,14.43,4.2,107,93.69,2.4,94,1.8,2.20,1.04,41,65,1.13,0.50,1268,1074,8.5,5.7,14.4,4.2,0.6,23327,2506,6635,10823,106.5,750,12.4,4.1,0.49,4730,10558,3001,6096,77.0,493,,
2019,2.07,2.08,0.01,2.16,13580,25.5,15.40,6.7,125,95.49,1.8,97,4.9,2.59,0.78,52,69,0.74,-1.00,1393,1245,9.8,6.2,15.4,6.7,1.0,28538,3230,8972,13580,125.2,882,13.0,5.1,0.63,5978,13249,3745,7657,92.0,589,,
2020,0.32,0.82,0.50,0.38,15750,16.0,19.19,24.6,117,96.05,1.2,95,23.4,2.41,0.51,60,86,-1.62,-1.00,1770,1549,8.9,4.9,19.2,24.6,3.8,30606,3756,12888,15750,116.6,821,14.5,11.5,1.50,5551,13718,3552,7607,81.9,525,,
2021,0.20,1.57,1.37,0.08,18916,20.1,21.59,12.5,124,97.09,4.7,93,7.8,2.58,2.03,72,97,-1.19,-1.00,1799,1521,10.5,6.0,21.6,12.5,2.4,36338,4766,15645,18916,124.4,876,15.4,6.2,0.90,7170,15946,4298,9138,92.6,594,,
2022,4.76,3.87,-0.89,4.10,15817,-16.4,21.24,-1.7,106,100.04,8.0,103,-9.7,2.19,3.46,60,95,3.87,5.00,1800,1710,8.8,4.7,21.2,-1.7,-0.4,33147,3839,10466,15817,105.8,745,16.1,4.4,0.67,6473,13923,3793,8063,78.3,502,,
2023,5.26,3.86,-1.40,5.33,18896,19.5,20.87,-1.7,129,103.70,4.1,101,-5.8,2.66,1.77,72,93,3.24,5.00,1941,1795,9.7,5.4,20.9,-1.7,-0.4,37466,4697,14524,18896,128.6,906,16.1,0.3,0.04,7543,16751,4521,9605,93.0,596,,
2024,4.26,4.57,0.31,4.48,23146,22.5,21.45,2.8,153,108.72,3.0,108,-0.2,3.17,1.28,88,96,-0.23,2.00,2386,2206,9.7,4.7,21.4,2.8,0.6,42544,5881,21012,23146,153.3,1079,16.7,3.5,0.57,7338,19215,4802,10452,97.8,627,,
2025,3.58,4.12,0.54,3.88,26257,13.4,22.32,4.1,167,115.06,2.7,98,1.4,3.46,1.15,100,100,-1.03,-1.00,4351,3500,6.0,3.6,22.3,4.1,0.9,48445,6896,23431,26257,167.1,1176,17.1,2.4,0.40,8112,24344,5751,12736,116.3,745,,
